Run ID,Wrapper Tier,Data Type,Source,Wrapper Template,Endpoint URL,Targetted Extracted Attributes,Status,Error Rate (%),Notes/Error Details
RUN_001,Tier 0,tabular,ClinVar,my_table_table_wrapper_21d708ae-151f-48cf-b251-417dd2f82466.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=A1CF,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_002,Tier 0,tabular,ClinVar,my_table_table_wrapper_3d92e65c-ce97-42ee-b1bb-a45b4fc69eca.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=BRCA1,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.11,Minor parsing artifact / formatting mismatch
RUN_003,Tier 0,tabular,ClinVar,my_table_table_wrapper_fe127f22-c131-46d8-a892-f11bf472970d.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=BRCA2,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_004,Tier 0,tabular,ClinVar,my_table_table_wrapper_65a9baed-fa4e-4a28-8e8d-9840ce5c43c7.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=TP53,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_005,Tier 0,tabular,ClinVar,my_table_table_wrapper_6a7b1aac-a62f-4747-b65e-4784ca807a0a.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=EGFR,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.07,Minor parsing artifact / formatting mismatch
RUN_006,Tier 0,tabular,ClinVar,my_table_table_wrapper_016ea9ba-a5c1-4da4-a546-0e65d305c893.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=PTEN,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_007,Tier 0,tabular,ClinVar,my_table_table_wrapper_755a8cf5-a47b-4e5e-98e6-6181524502f3.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=APOE,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_008,Tier 0,tabular,ClinVar,my_table_table_wrapper_9fb421ab-b218-4097-83d0-f27c71583c15.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=LDLR,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.0,No extraction errors observed
RUN_009,Tier 0,tabular,ClinVar,my_table_table_wrapper_838f62e0-8f41-434e-a395-b60af89db00b.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=MTOR,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.6,Minor parsing artifact / formatting mismatch
RUN_010,Tier 0,tabular,ClinVar,my_table_table_wrapper_82a9a022-5dd4-41a7-9f88-f71208e98e97.json,https://www.ncbi.nlm.nih.gov/clinvar/?term=KRAS,"Variation, Gene (Protein Change), Type (Consequence), Condition, Classification, Review status",Success,0.49,Minor parsing artifact / formatting mismatch
